message,has_budget,has_timeline,urgency,label
looking to buy software immediately,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
require ecommerce website urgent,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
require ecommerce website urgent,1,1,2,Hot
need app asap budget 1 lakh,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
require ecommerce website urgent,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
require ecommerce website urgent,1,1,2,Hot
require ecommerce website urgent,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
need app asap budget 1 lakh,1,1,2,Hot
require ecommerce website urgent,1,1,2,Hot
need app asap budget 1 lakh,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
need app asap budget 1 lakh,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
need app asap budget 1 lakh,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
need app asap budget 1 lakh,1,1,2,Hot
require ecommerce website urgent,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
need app asap budget 1 lakh,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
need app asap budget 1 lakh,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
need app asap budget 1 lakh,1,1,2,Hot
need app asap budget 1 lakh,1,1,2,Hot
need app asap budget 1 lakh,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
require ecommerce website urgent,1,1,2,Hot
require ecommerce website urgent,1,1,2,Hot
require ecommerce website urgent,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
require ecommerce website urgent,1,1,2,Hot
need app asap budget 1 lakh,1,1,2,Hot
require ecommerce website urgent,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
require ecommerce website urgent,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
need app asap budget 1 lakh,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
need app asap budget 1 lakh,1,1,2,Hot
require ecommerce website urgent,1,1,2,Hot
need app asap budget 1 lakh,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
need app asap budget 1 lakh,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
need app asap budget 1 lakh,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
need app asap budget 1 lakh,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
require ecommerce website urgent,1,1,2,Hot
need app asap budget 1 lakh,1,1,2,Hot
